,ポケモン名,HP,攻撃,防御,特攻,特防,素早,オリジナルのタイプ1,オリジナルのタイプ2,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,カイリュー,マリルリ,ハッサム,キノガッサ,ガブリアス,ジバコイル,ウルガモス,ミミッキュ,アーマーガア,ドラパルト,マスカーニャ,キョジオーン,キラフロル,ヘイラッシャ,コノヨザル,ドオー,ドドゲザン,イダイナキバ,ハバタクカミ,テツノツツミ,テツノカイナ,テツノドクガ,セグレイブ,サーフゴー,チオンジェン,パオジアン,ディンルー,イーユイ,イルカマン(マイティ),ウォッシュロトム
0,フシギダネ,45,49,49,65,65,45,くさ,どく,0.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,-1.0,-2.0
1,フシギソウ,60,62,63,80,80,60,くさ,どく,0.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,-1.0,-2.0
2,フシギバナ,80,82,83,100,100,80,くさ,どく,0.0,1.0,-1.0,-1.0,-2.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,-1.0,-2.0
3,メガフシギバナ,80,100,123,122,120,80,くさ,どく,0.0,0.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-3.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-2.0
4,ヒトカゲ,39,52,43,60,50,65,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
5,リザード,58,64,58,80,65,80,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
6,リザードン,78,84,78,109,85,100,ほのお,ひこう,0.0,-1.0,1.0,1.0,-2.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,-3.0,-1.0,-1.0,0.0,-2.0,2.0,2.0,1.0,-1.0,-3.0,-1.0,-4.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-3.0,-1.0,1.0,2.0
7,メガリザードンX,78,130,111,130,85,100,ほのお,ドラゴン,0.0,-2.0,0.0,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,-2.0,-2.0,2.0,-2.0,-3.0,0.0,-1.0,1.0,-2.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-2.0,1.0,-1.0,-2.0,0.0,1.0,-2.0,0.0,-1.0
8,メガリザードンY,78,104,78,159,115,100,ほのお,ひこう,0.0,-1.0,1.0,1.0,-2.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,-3.0,-1.0,-1.0,0.0,-2.0,2.0,2.0,1.0,-1.0,-3.0,-1.0,-4.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-3.0,-1.0,1.0,2.0
9,ゼニガメ,44,48,65,50,64,43,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
